기업번호,발간연도,국가,작성기준,전체쪽수,보고서제목,검증여부,검증형태,비교연도,정보공시1,정보공시2
143,3,1,2,96,1,1,2,3,22,10
144,1,1,1,99,5,1,2,3,28,17
145,3,1,2,94,5,1,2,3,24,23
146,1,1,1,88,1,1,2,3,20,18
147,1,1,1,64,4,1,2,1,23,17
148,2,1,2,208,5,1,2,1,22,12
149,3,1,2,160,5,1,2,1,24,14
150,1,1,2,68,1,1,2,3,4,9
151,2,1,2,71,1,1,2,3,6,11
152,3,1,2,83,1,1,2,3,6,8
153,1,1,1,50,5,1,2,3,26,14
154,2,1,1,79,1,1,2,3,24,11
155,3,1,2,89,5,1,2,3,26,13
156,4,1,2,110,1,1,2,3,12,4
157,4,1,2,123,1,1,2,2,16,14
158,4,1,2,75,1,1,2,3,8,10
159,4,1,2,131,1,1,2,3,19,16
160,4,1,2,73,1,1,2,3,14,4
161,4,1,2,139,1,1,2,3,11,2
162,4,1,2,168,1,1,2,0,14,8
163,4,1,2,77,2,1,2,3,15,11
164,4,1,2,138,4,1,2,3,6,7
165,4,1,2,51,1,1,2,3,11,6
166,4,1,2,78,1,1,2,3,21,14
167,4,1,2,82,1,1,2,3,19,12
168,4,1,2,84,1,1,2,4,22,17
169,4,1,2,71,1,1,2,0,14,4
170,4,1,2,80,1,1,2,3,17,15
171,4,1,2,75,1,1,2,3,8,7
172,4,1,2,142,1,1,2,3,19,13
173,4,1,2,88,4,1,2,0,19,7
174,4,1,2,85,1,1,2,3,11,7
175,4,1,2,69,1,1,2,4,11,7
176,4,1,2,84,1,1,2,0,18,13
177,3,1,2,96,1,1,2,3,22,11
178,4,1,2,74,1,1,2,3,12,9
179,4,1,2,92,1,1,2,3,17,7
180,4,1,2,92,1,1,2,3,15,9
181,4,1,2,96,4,1,2,3,22,15
182,4,1,2,77,1,1,2,3,16,8
183,4,1,2,84,1,1,2,3,18,12
184,4,1,2,81,1,1,2,3,10,8
185,4,1,2,96,1,1,2,1,26,16
186,4,1,2,80,1,1,2,3,16,9
187,4,1,2,79,2,1,2,3,18,12
188,4,1,2,70,1,1,2,0,15,10
189,4,1,2,66,1,1,2,3,15,5
190,4,1,2,93,1,1,2,3,17,8
191,4,1,2,112,1,1,2,3,12,5
192,4,1,2,86,1,1,2,3,17,12
193,4,1,2,52,1,1,2,3,17,9
194,4,1,2,98,1,1,2,3,17,11
195,4,1,2,77,1,1,2,3,17,10
196,4,1,2,86,1,1,2,3,12,9
197,4,1,2,213,1,1,2,2,19,15
198,4,1,2,65,2,1,2,0,12,11
199,4,1,2,94,1,1,2,3,22,13
200,4,1,2,70,1,1,2,3,18,13
201,4,1,2,70,1,1,2,0,15,14
202,4,1,2,109,1,1,2,3,11,5
203,4,1,2,84,4,1,2,3,16,8
204,4,1,2,87,1,1,2,1,15,12
205,4,1,2,78,5,1,2,3,20,6
206,4,1,2,82,2,1,2,3,19,10
207,4,1,2,103,1,1,2,3,15,10
208,4,1,2,144,5,1,2,0,23,11
209,4,1,2,82,1,1,2,3,9,10
301,3,2,2,78,2,0,0,0,5,5
302,1,2,1,56,5,0,0,0,20,9
303,2,2,2,59,5,0,0,0,18,10
304,3,2,2,66,5,0,0,0,19,13
305,1,2,1,56,5,1,2,0,8,16
306,2,2,1,113,5,0,0,0,20,16
307,3,2,2,59,5,0,0,0,16,7
308,1,2,1,20,1,1,2,0,3,5
309,2,2,1,20,1,2,2,0,3,5
310,3,2,1,20,1,1,2,0,2,5
311,1,2,1,86,2,1,2,3,14,20
312,2,2,1,100,2,1,2,0,14,19
313,3,2,1,152,2,1,2,0,15,18
314,3,2,2,41,1,1,2,0,7,8
315,1,2,1,58,1,0,0,4,6,6
316,1,2,1,66,1,1,2,0,10,12
317,2,2,2,104,1,1,2,0,12,14
318,3,2,2,100,1,1,2,0,11,16
319,1,2,1,40,2,0,0,1,7,8
320,2,2,1,32,2,0,0,0,5,14
321,1,2,1,48,2,1,2,0,8,13
322,1,2,1,160,2,1,2,0,19,16
323,2,2,1,160,2,1,1,1,18,17
324,3,2,2,123,2,1,1,1,18,17
325,1,2,1,82,5,1,2,0,10,9
326,2,2,1,87,5,1,2,0,13,12
327,3,2,1,102,5,1,2,0,12,12
328,1,2,1,59,4,1,2,4,12,13
329,2,2,1,58,4,1,2,3,15,14
330,3,2,1,55,4,1,2,3,15,12
331,1,2,1,91,5,1,2,0,14,13
332,2,2,2,101,1,0,0,0,5,2
333,3,2,2,69,1,0,0,0,8,5
334,1,2,1,91,2,1,1,1,15,8
335,2,2,1,69,2,1,1,1,13,6
336,3,2,1,81,2,1,1,3,15,9
337,3,2,1,130,5,1,1,1,15,17
338,1,2,1,124,1,1,1,0,21,18
339,3,2,2,74,2,0,0,0,5,6
340,2,2,1,120,1,1,1,3,13,20
341,1,2,1,95,1,1,2,3,24,18
342,2,2,1,84,5,1,2,1,17,16
343,1,2,1,70,5,0,0,1,6,9
344,1,2,1,41,1,0,1,1,2,5
345,2,2,2,64,1,0,2,2,15,9
346,3,2,2,79,1,0,2,3,16,8
347,3,2,2,603,1,0,2,3,17,12
348,1,2,2,145,3,0,0,3,11,6
349,3,2,2,119,1,0,0,4,10,6
350,1,2,1,90,2,1,2,4,15,8
351,2,2,1,121,2,1,1,4,14,12
352,3,2,2,141,2,1,2,4,15,13
353,1,2,1,113,1,1,2,3,15,13
354,2,2,2,104,1,1,2,3,7,7
355,3,2,2,116,1,1,2,3,11,7
356,3,2,1,56,1,0,0,3,9,4
357,1,2,1,61,1,0,0,4,0,7
